2019-02-03 21:59:18,531 INFO-LogService.java>afterMethod-Exiting.....class com.sun.proxy.$Proxy165 ;  Method: SkillRepository.findAll(..)
2019-02-03 21:59:18,534 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.service.SkillService ;  Method: SkillService.findAllSkills(..)
2019-02-03 21:59:18,537 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.controller.SkillsController ;  Method: SkillsController.findAllSkills(..)
2019-02-03 22:00:35,272 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 22:00:35,273 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 22:00:35,273 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.authenticate(..)
2019-02-03 22:00:35,273 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getUsernameFromToken(..)
2019-02-03 22:00:35,278 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getUsernameFromToken(..)
2019-02-03 22:00:35,279 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getRolesFromToken(..)
2019-02-03 22:00:35,282 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getRolesFromToken(..)
